PRICE.DATE,150181,150171,150152,150227,150018,150235,150223,150117,150209,150200,150221,502011,150184,150157,150130,150194,150196,150205,150051,150177,150261,150022,150243,150123,150211,502004,150231,150192,150265,150100,150343,150219,502049,150096,150203,150329,150085,150198,150303,150299,150106,150335,150190,150186,150275,150301,150173,150291,150315,502037,150217,150241,150251,150317,502054,502007,150289,150325,150277,150295,150028,150179,150012,150281,150321,150269,150150,150213,150207,150247,150287,150229,150225,502057,150249,150059,150267,502014,150323,150255,150237,150305,150331,150259,502031,150148,150307,150245,150215,150297,150030,150283,150309,150108,150311,150273,150083,150257,150135,150090,150293,150279,150327,150104,502041,150233,150167,150008,150271,150140,150112,150057,502024,150094,150073,502021,150263,150088,502001,150076,150138,150053,150145,150121,150092,150064,502017,150055,150285,150349,150239,150253,150357,150313,502027,150319,150333,150351,150353
20140121,0,0,1.209,0,0.499,0,0,0.659,0,0,0,0,0,0,0.988,0,0,0,0.793,0,0,0.323,0,0.685,0,0,0,0,0,0.976,0,0,0,0.456,0,0,0.993,0,0,0,1.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.618,0,0.823,0,0,0,0.721,0,0,0,0,0,0,0,0,0.908,0,0,0,0,0,0,0,0,0,0.998,0,0,0,0,0.832,0,0,0.915,0,0,0.66,0,0,1.165,0,0,0,0.839,0,0,1.02,0.962,0,1.018,0.798,1.13,0,1.059,1.158,0,0,1.07,0,0.75,0.94,1.046,0.872,0.908,1.101,0.932,0,0.916,0,0,0,0,0,0,0,0,0,0,0
20140122,nan,nan,1.207,nan,0.527,nan,nan,0.725,nan,nan,nan,nan,nan,1.094,1.015,nan,nan,nan,0.829,nan,nan,0.335,nan,0.706,nan,nan,nan,nan,nan,1.0,nan,nan,nan,0.453,nan,nan,1.017,nan,nan,nan,1.079,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.643,nan,0.851,nan,nan,nan,0.77,nan,nan,nan,nan,nan,nan,nan,nan,0.93,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.015,nan,nan,nan,nan,0.855,nan,nan,0.945,nan,nan,0.687,nan,nan,1.22,nan,nan,nan,0.847,nan,nan,1.0,0.977,nan,1.059,0.848,1.129,nan,1.117,1.168,nan,nan,1.098,nan,0.75,0.949,1.001,0.902,0.908,1.118,0.95,nan,0.929,None,None,None,None,None,None,nan,None,None,None,None
20140123,nan,nan,1.224,nan,0.523,nan,nan,0.71,nan,nan,nan,nan,nan,1.073,1.01,nan,nan,nan,0.819,nan,nan,0.332,nan,0.699,nan,nan,nan,nan,nan,0.98,nan,nan,nan,0.436,nan,nan,1.021,nan,nan,nan,1.087,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.64,nan,0.842,nan,nan,nan,0.743,nan,nan,nan,nan,nan,nan,nan,nan,0.922,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.025,nan,nan,nan,nan,0.849,nan,nan,0.944,nan,nan,0.677,nan,nan,1.211,nan,nan,nan,0.848,nan,nan,1.07,0.977,nan,1.103,0.832,1.126,nan,1.138,1.17,nan,nan,1.119,nan,0.74,0.98,1.033,0.902,0.912,1.149,0.95,nan,0.942,None,None,None,None,None,None,nan,None,None,None,None
20140124,nan,nan,1.232,nan,0.529,nan,nan,0.746,nan,nan,nan,nan,nan,1.078,1.028,nan,nan,nan,0.818,nan,nan,0.334,nan,0.701,nan,nan,nan,nan,nan,0.99,nan,nan,nan,0.438,nan,nan,1.067,nan,nan,nan,1.13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.653,nan,0.845,nan,nan,nan,0.771,nan,nan,nan,nan,nan,nan,nan,nan,0.933,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.027,nan,nan,nan,nan,0.853,nan,nan,0.958,nan,nan,0.683,nan,nan,1.268,nan,nan,nan,0.85,nan,nan,1.14,0.981,nan,1.079,0.84,1.136,nan,1.153,1.194,nan,nan,1.118,nan,0.74,0.98,1.055,0.898,0.949,1.174,0.95,nan,0.962,None,None,None,None,None,None,nan,None,None,None,None
20140127,nan,nan,1.228,nan,0.517,nan,nan,0.732,nan,nan,nan,nan,nan,1.06,1.016,nan,nan,nan,0.791,nan,nan,0.329,nan,0.689,nan,nan,nan,nan,nan,0.98,nan,nan,nan,0.428,nan,nan,1.06,nan,nan,nan,1.125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.648,nan,0.83,nan,nan,nan,0.749,nan,nan,nan,nan,nan,nan,nan,nan,0.916,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.016,nan,nan,nan,nan,0.837,nan,nan,0.945,nan,nan,0.668,nan,nan,1.281,nan,nan,nan,0.831,nan,nan,1.044,0.976,nan,1.079,0.822,1.136,nan,1.19,1.191,nan,nan,1.108,nan,0.745,0.98,1.066,0.874,0.915,1.163,0.95,nan,0.966,None,None,None,None,None,None,nan,None,None,None,None
20140128,nan,nan,1.22,nan,0.515,nan,nan,0.734,nan,nan,nan,nan,nan,1.069,1.021,nan,nan,nan,0.798,nan,nan,0.331,nan,0.686,nan,nan,nan,nan,nan,0.971,nan,nan,nan,0.423,nan,nan,1.065,nan,nan,nan,1.125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.648,nan,0.83,nan,nan,nan,0.795,nan,nan,nan,nan,nan,nan,nan,nan,0.912,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.019,nan,nan,nan,nan,0.841,nan,nan,0.943,nan,nan,0.688,nan,nan,1.224,nan,nan,nan,0.839,nan,nan,1.055,0.974,nan,1.046,0.814,1.14,nan,1.23,1.186,nan,nan,1.09,nan,0.745,0.97,1.07,0.885,0.915,1.132,0.95,nan,0.967,None,None,None,None,None,None,nan,None,None,None,None
20140129,nan,nan,1.259,nan,0.519,nan,nan,0.718,nan,nan,nan,nan,nan,1.097,1.031,nan,nan,nan,0.803,nan,nan,0.33,nan,0.69,nan,nan,nan,nan,nan,0.967,nan,nan,nan,0.42,nan,nan,1.076,nan,nan,nan,1.137,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.66,nan,0.835,nan,nan,nan,0.81,nan,nan,nan,nan,nan,nan,nan,nan,0.908,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.022,nan,nan,nan,nan,0.842,nan,nan,0.948,nan,nan,0.687,nan,nan,1.286,nan,nan,nan,0.827,nan,nan,1.065,0.978,nan,1.044,0.828,1.133,nan,1.213,1.186,nan,nan,1.099,nan,0.745,0.978,1.07,0.888,0.968,1.179,0.95,nan,0.973,None,None,None,None,None,None,nan,None,None,None,None
20140130,nan,nan,1.236,nan,0.506,nan,nan,0.691,nan,nan,nan,nan,nan,1.071,1.028,nan,nan,nan,0.785,nan,nan,0.324,nan,0.681,nan,nan,nan,nan,nan,0.934,nan,nan,nan,0.401,nan,nan,1.045,nan,nan,nan,1.118,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.649,nan,0.823,nan,nan,nan,0.81,nan,nan,nan,nan,nan,nan,nan,nan,0.887,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.016,nan,nan,nan,nan,0.828,nan,nan,0.941,nan,nan,0.679,nan,nan,1.221,nan,nan,nan,0.824,nan,nan,1.044,0.978,nan,1.147,0.812,1.124,nan,1.312,1.186,nan,nan,1.099,nan,0.751,0.978,1.07,0.878,1.065,1.138,0.95,nan,0.973,None,None,None,None,None,None,nan,None,None,None,None
20140207,nan,nan,1.291,nan,0.501,nan,nan,0.698,nan,nan,nan,nan,nan,1.058,1.03,nan,nan,nan,0.786,nan,nan,0.323,nan,0.681,nan,nan,nan,nan,nan,0.929,nan,nan,nan,0.402,nan,nan,1.084,nan,nan,nan,1.145,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.666,nan,0.818,nan,nan,nan,0.74,nan,nan,nan,nan,nan,nan,nan,nan,0.886,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.016,nan,nan,nan,nan,0.822,nan,nan,0.948,nan,nan,0.689,nan,nan,1.28,nan,nan,nan,0.812,nan,nan,1.038,0.974,nan,1.056,0.825,1.125,nan,1.181,1.191,nan,nan,1.125,nan,0.713,0.998,1.077,0.87,1.048,1.165,0.921,nan,0.99,None,None,None,None,None,None,nan,None,None,None,None
