date,399967.SZ,399975.CSI,399006.SZ,399707.CSI,399394.SZ,399990.SZ,399004.SZ,399811.CSI,399973.CSI,000300.SH,399976.CSI,399673.SZ,399959.SZ,399970.CSI,399986.CSI,000827.SH,399395.SZ,399966.SZ,399971.CSI,399803.SZ
20130104,4194.031,576.827,705.342,4498.62,4504.695,2025.822,3256.922,1300.57,625.24,2524.409,986.333,648.3559,610.204,922.497,4098.748,897.578,5063.508,3964.9509,757.403,917.316
20130107,4298.795,575.835,718.114,4497.57,4607.474,2040.005,3263.691,1301.1,646.571,2535.985,988.442,661.4146,621.871,935.835,4166.958,909.107,5008.283,3956.8698,762.321,933.231
20130108,4414.644,565.522,733.138,4422.78,4728.754,2026.009,3273.404,1331.23,668.92,2525.33,1003.233,670.6547,632.963,949.668,4103.595,921.079,5034.555,3866.8439,768.912,952.485
20130109,4377.221,564.992,734.506,4413.43,4718.334,2093.404,3287.581,1340.25,664.485,2526.126,1011.012,670.1302,632.088,954.547,4078.449,922.592,5007.004,3854.112,768.618,952.444
20130110,4434.693,567.022,741.18,4439.78,4748.787,2081.424,3294.231,1352.51,673.665,2530.569,1013.932,677.7377,638.337,964.322,4076.61,935.288,5033.496,3861.8552,775.618,956.754
20130111,4523.125,547.934,731.587,4287.8,4691.54,2014.485,3234.561,1337.75,692.825,2483.23,987.338,668.476,643.376,949.694,4004.941,916.115,4912.259,3761.2024,761.35,942.288
20130114,4860.578,578.653,760.55,4538.01,4869.953,2071.552,3346.996,1392.96,750.195,2577.725,1023.129,695.108,684.562,986.946,4199.441,949.201,5048.174,3969.0522,784.399,984.707
20130115,4900.931,582.858,778.603,4565.12,4938.919,2099.72,3387.379,1415.55,762.466,2595.856,1048.22,713.7418,694.191,1005.186,4203.538,975.643,5115.242,3997.6838,807.226,1014.162
20130116,5118.765,573.762,774.485,4495.34,4982.416,2111.18,3379.824,1421.13,799.197,2577.092,1047.272,709.5048,717.055,1006.684,4144.598,965.449,5192.081,3923.7051,800.649,1026.293
20130117,4802.294,576.047,768.308,4505.34,4997.398,2077.812,3358.051,1412.8,743.949,2552.758,1027.831,703.4403,682.045,989.447,4106.921,950.1,5064.227,3900.728,794.747,1012.877
20130118,4848.25,582.074,787.386,4561.91,5063.692,2116.708,3411.703,1432.9,750.704,2595.439,1044.049,722.8468,688.604,1002.613,4183.671,966.878,5120.28,3954.3296,806.098,1057.007
20130121,4885.757,585.051,792.6,4598.79,5079.249,2175.906,3445.575,1425.91,758.872,2610.898,1054.117,728.4059,693.738,1010.557,4261.111,973.711,5101.352,3951.3965,813.06,1067.051
20130122,4762.207,581.076,775.135,4567.27,4979.402,2121.414,3422.011,1387.39,741.054,2596.898,1035.364,709.6105,676.812,992.938,4317.331,950.102,5031.073,3940.9377,800.412,1043.985
20130123,4895.759,581.97,778.478,4574.05,5014.713,2105.824,3429.458,1390.99,767.961,2607.456,1039.022,711.3435,693.171,996.804,4367.646,952.678,5037.804,3955.6242,801.142,1067.39
20130124,4943.237,581.902,757.869,4574.58,4945.956,2040.485,3380.343,1342.09,786.818,2582.755,1017.86,690.3905,692.256,968.658,4363.717,928.19,4924.477,3957.901,785.257,1043.753
20130125,4848.742,569.945,762.848,4487.22,5061.535,2028.608,3361.035,1339.82,766.515,2571.674,1025.717,695.7705,682.075,966.5,4351.346,926.912,4941.505,3871.8733,793.965,1028.876
20130128,5026.456,605.345,784.76,4757.18,5195.783,2078.015,3455.826,1364.75,795.651,2651.863,1052,716.7409,706.049,990.346,4575.229,948.698,5032.252,4057.6808,812.514,1054.391
20130129,5070.23,634.507,791.671,4972.02,5193.53,2112.461,3481.955,1386.89,802.526,2675.866,1060.959,722.8511,711.313,997.823,4636.149,956.592,5095.163,4189.5373,820.633,1075.319
